24-Apr-20 23:02:12.586126 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-Apr-20 23:02:12.587130 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-Apr-20 23:02:12.587130 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-20 23:02:12.588137 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_settings()                                              
24-Apr-20 23:02:12.588137 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-20 23:02:12.625138 | DEBUG    | MAIN LOGGER                    | IN config_controllers()                                                         
24-Apr-20 23:02:12.625138 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar(statusbar)                                                 
24-Apr-20 23:02:12.626140 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-Apr-20 23:02:12.626140 | DEBUG    | MAIN LOGGER                    | IN connect_structureexecdoc(tr_sed, title_sed)                                  
24-Apr-20 23:02:12.627138 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-Apr-20 23:02:12.628138 | DEBUG    | MAIN LOGGER                    | IN connect_pages_template(lw_pt)                                                
24-Apr-20 23:02:12.628138 | DEBUG    | MAIN LOGGER                    | IN connect_inputforms(sa_if, sa_ifl)                                            
24-Apr-20 23:02:12.629140 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
24-Apr-20 23:02:13.682027 | DEBUG    | MAIN LOGGER                    | IN new_project()                                                                
24-Apr-20 23:02:13.682027 | DEBUG    | MAIN LOGGER                    | IN select_folder_for_new_project() -> str                                       
24-Apr-20 23:02:13.682027 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-20 23:02:25.254527 | DEBUG    | MAIN LOGGER                    | select_folder_for_new_project() -> C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Привет Андрей
24-Apr-20 23:02:25.255529 | DEBUG    | MAIN LOGGER                    | IN set_project_dirpaths(folder_path: str): folder_path = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Привет Андрей
24-Apr-20 23:02:25.255529 | DEBUG    | MAIN LOGGER                    | set_project_dirpath(dirpath: str): dirpath = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Привет Андрей
24-Apr-20 23:02:25.255529 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Привет Андрей
24-Apr-20 23:02:25.256529 | DEBUG    | MAIN LOGGER                    | set_db_project_dirpath(dirpath: str): dirpath = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Привет Андрей\project.db
24-Apr-20 23:02:25.256529 | DEBUG    | MAIN LOGGER                    | IN config_new_project()                                                         
24-Apr-20 23:02:25.256529 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Привет Андрей
