24-May-11 16:23:18.626988 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-May-11 16:23:18.626988 | DEBUG    | MAIN LOGGER                    | self.current_directory = d:\work\project\AutoExecDoc                            
24-May-11 16:23:18.627971 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-May-11 16:23:18.627971 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/Documents\AutoExecDoc Projects
24-May-11 16:23:18.627971 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_settings()                                              
24-May-11 16:23:18.629633 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-May-11 16:23:18.629633 | DEBUG    | MAIN LOGGER                    | get_templates_main_dirpath() -> str: d:\work\project\AutoExecDoc\templates\main 
24-May-11 16:23:18.673818 | DEBUG    | MAIN LOGGER                    | IN config_controllers()                                                         
24-May-11 16:23:18.673818 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar(statusbar)                                                 
24-May-11 16:23:18.674819 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-May-11 16:23:18.674819 | DEBUG    | MAIN LOGGER                    | IN connect_structureexecdoc(tr_sed, title_sed)                                  
24-May-11 16:23:18.674819 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-May-11 16:23:18.675819 | DEBUG    | MAIN LOGGER                    | IN connect_pages_template(lw_pt)                                                
24-May-11 16:23:18.675819 | DEBUG    | MAIN LOGGER                    | IN connect_inputforms(sa_if, sa_ifl)                                            
24-May-11 16:23:18.675819 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
24-May-11 16:23:20.259800 | DEBUG    | MAIN LOGGER                    | IN open_project()                                                               
24-May-11 16:23:20.259800 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/Documents\AutoExecDoc Projects
24-May-11 16:23:25.080364 | DEBUG    | MAIN LOGGER                    | select_folder_for_open_project() -> D:/общая папка/Новосергеевка                
24-May-11 16:23:25.081353 | DEBUG    | MAIN LOGGER                    | IN set_project_dirpaths(folder_path: str): folder_path = D:/общая папка/Новосергеевка
24-May-11 16:23:25.081353 | DEBUG    | MAIN LOGGER                    | set_project_dirpath(dirpath: str): dirpath = D:/общая папка/Новосергеевка       
24-May-11 16:23:25.081353 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
